""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"8039378"	-0.360426555555556	-1.28380541878581	9.91333696969697	-5.71161068482484	1.90761591715637e-06	0.0635178871935556
"7894234"	0.446273444444445	1.36251625774699	7.38020212121212	5.31989327245233	6.23862197337955e-06	0.0808088726934454
"8131867"	-0.494901777777778	-1.40922480838933	8.18256909090909	-5.26877444368977	7.28073454306203e-06	0.0808088726934454
"8121704"	-0.254237111111109	-1.1927048807267	10.2370654545455	-5.05583998040325	1.38417496896992e-05	0.09693924329412
"7938090"	-0.309665222222221	-1.23942005880394	8.80050363636364	-4.96189565314377	1.83648879131965e-05	0.09693924329412
"7906978"	-0.350754444444445	-1.27522732168442	11.3187272727273	-4.95042065028356	1.90095497160937e-05	0.09693924329412
"8121130"	0.420900222222224	1.33876266403322	7.06591272727273	4.83962047420636	2.65123724940156e-05	0.09693924329412
"8180371"	-0.264741111111111	-1.20142043756293	12.0012242424242	-4.83858741524454	2.65946207248239e-05	0.09693924329412
"7896211"	0.693500777777779	1.61720299190091	4.92211818181818	4.82868628194763	2.73958527911452e-05	0.09693924329412
"7905817"	-0.273771666666667	-1.20896431959308	9.75310333333333	-4.72744493265174	3.70933544371638e-05	0.09693924329412
"8096663"	-0.209723333333332	-1.15646638624732	9.51997121212121	-4.7216145672287	3.77453583728779e-05	0.09693924329412
"7894185"	-0.304018888888887	-1.23457877085606	13.2275818181818	-4.70972393513829	3.91104303516605e-05	0.09693924329412
"7893808"	-0.309128888888889	-1.23895938019453	13.0860757575758	-4.68248766113292	4.24240301272142e-05	0.09693924329412
"8169898"	-0.309798333333334	-1.23953441990433	8.90712090909091	-4.6709048619409	4.39159977838136e-05	0.09693924329412
"7982056"	0.346307777777778	1.27130287415665	10.8367181818182	4.6607691210713	4.5264062235409e-05	0.09693924329412
"8040340"	0.179412777777779	1.13242285978286	9.57076848484848	4.5583498977423	6.14009930011614e-05	0.09693924329412
"7894262"	-0.209682222222222	-1.15643343199202	10.6999787878788	-4.55356212889556	6.22806974461976e-05	0.09693924329412
"8156110"	0.282062555555556	1.21593200510346	6.0364396969697	4.54116498954918	6.46167701721828e-05	0.09693924329412
"7895748"	0.401632444444446	1.32100181102339	7.83201909090909	4.51875720598489	6.90606298515777e-05	0.09693924329412
"7893067"	0.369885555555557	1.29225031643223	10.4095975757576	4.49202118047666	7.47585887747535e-05	0.09693924329412
"8111331"	-0.153762222222222	-1.11246675427054	9.35467363636364	-4.48166402021947	7.7088357662377e-05	0.09693924329412
"7953508"	-0.237164444444444	-1.17867375034313	9.23004575757576	-4.47584063222699	7.84295713606217e-05	0.09693924329412
"7974900"	-0.476170777777777	-1.39104662590572	8.22961151515151	-4.45904211192082	8.24287292052123e-05	0.09693924329412
"8022557"	0.340127777777778	1.26586870548573	4.58759909090909	4.45728159759308	8.28593058111718e-05	0.09693924329412
"7894596"	-0.290032222222223	-1.22266758535278	12.4219393939394	-4.45676966758177	8.29849261497995e-05	0.09693924329412
"8012376"	-0.318295555555555	-1.24685660352002	12.0670424242424	-4.44869333228529	8.49917569169221e-05	0.09693924329412
"7982054"	0.344666888888889	1.26985774484764	8.74697121212121	4.44403393112594	8.61712091668182e-05	0.09693924329412
"8170891"	-0.28032111111111	-1.21446516664534	12.8607090909091	-4.43438481571095	8.86652325599816e-05	0.09693924329412
"7894479"	-0.30092	-1.23192975886057	10.8667848484848	-4.42708929764441	9.05979914956526e-05	0.09693924329412
"8092055"	-0.286719333333332	-1.21986317096917	9.46296303030303	-4.42197231973545	9.19783000390643e-05	0.09693924329412
"7931479"	-0.249204222222221	-1.18855133979117	9.38514090909091	-4.41324746895501	9.43797471965437e-05	0.09693924329412
"7903507"	-0.455033333333334	-1.37081447715347	9.00856333333333	-4.40455853818263	9.68326333470158e-05	0.09693924329412
"8135172"	-0.334894777777777	-1.26128541427227	8.79481787878788	-4.39728862406595	9.89330669852614e-05	0.09693924329412
"8098576"	-0.351847222222221	-1.27619361597743	10.15253	-4.39710764829518	9.89859228158717e-05	0.09693924329412
"8041225"	-0.298975222222222	-1.23027021511328	9.95044939393939	-4.37101987612567	0.000106903174110869	0.0972838128665244
"7982074"	0.236071777777779	1.17778138578143	5.45840757575758	4.36898612888133	0.000107545935322057	0.0972838128665244
"8016832"	-0.348282999999999	-1.27304463204997	9.46958121212121	-4.36723360739862	0.000108102864404042	0.0972838128665244
"8123038"	-0.245007222222222	-1.18509870360547	8.46458363636364	-4.33866802659623	0.0001175909600327	0.102445691761767
"7931199"	-0.31683411111111	-1.24559418217002	7.67799060606061	-4.32392722026585	0.000122802748797606	0.102445691761767
"8024436"	-0.256447777777777	-1.19453388407825	12.1931939393939	-4.32172749033653	0.000123599714857146	0.102445691761767
"7961540"	-0.429875333333333	-1.34711716427814	8.26249212121212	-4.30860130965575	0.000128462114715782	0.102445691761767
"7894854"	0.342190555555557	1.26767995000623	10.4403639393939	4.30659309139257	0.000129222424062054	0.102445691761767
"7895542"	-0.242453888888888	-1.18300312845104	9.84189424242424	-4.28414926621296	0.000138026316443531	0.105844768058216
"7910611"	-0.302550999999999	-1.23332327140139	8.31174848484848	-4.27963361046712	0.000139867549465763	0.105844768058216
"7895690"	-0.231272222222223	-1.17386965492793	12.2987151515152	-4.25723793862342	0.00014936171865463	0.110517714356516
"7895447"	-0.294829999999998	-1.22674041575449	12.3295363636364	-4.23177394832943	0.000160926527838465	0.116307383463972
"7982564"	-0.323829666666666	-1.25164867269041	9.50510303030303	-4.22494960388172	0.000164172358555025	0.116307383463972
"8050060"	-0.188848111111111	-1.13985326108015	8.49009272727273	-4.21687341065329	0.000168096644080213	0.116606540790393
"7935228"	0.469715111111112	1.38483597764503	7.54010575757576	4.16220978447731	0.000197184789057798	0.132954196185348
"8106418"	-0.625339666666666	-1.54257396471753	8.10150636363636	-4.15599828729865	0.000200787082655143	0.132954196185348
"8143132"	-0.28583111111111	-1.21911237050699	11.4755878787879	-4.13893238442723	0.000211019404845848	0.132954196185348
"7894471"	-0.301402222222221	-1.2323416014076	13.7490212121212	-4.13809683473852	0.000211533283608119	0.132954196185348
"8164428"	-0.206255999999998	-1.15369030425649	8.88205393939394	-4.13794329554869	0.000211627846287156	0.132954196185348
"7980990"	-0.233497111111111	-1.17568136453143	7.75508606060606	-4.12729524707854	0.000218287798636726	0.13459868205939
"8073799"	-0.193844444444444	-1.14380763790418	10.7934666666667	-4.11720459327442	0.000224788260882595	0.135456931769377
"8003627"	-0.252771555555555	-1.1914938917938	9.26517272727273	-4.10685786993664	0.000231650357691624	0.135456931769377
"8120428"	-0.209688888888887	-1.15643877586152	11.8141424242424	-4.10290326814387	0.000234326900570949	0.135456931769377
"7894416"	-0.309737777777778	-1.23948239288683	9.84611454545455	-4.08602081506376	0.000246097580595139	0.135456931769377
"8147447"	-0.288713999999999	-1.22155091730073	9.7859896969697	-4.08103285841622	0.000249684598742202	0.135456931769377
"7950644"	-0.269397777777777	-1.20530459401407	11.2054242424242	-4.07080429121059	0.000257200992537349	0.135456931769377
"8066195"	-0.199051111111112	-1.14794308191405	10.8989	-4.06743772868252	0.000259722945111139	0.135456931769377
"7893258"	-0.363006	-1.28610283217079	9.04356727272727	-4.0659325636409	0.000260858297641746	0.135456931769377
"7894646"	0.461624666666667	1.37709173388013	5.73784606060606	4.06424626260638	0.000262136045658255	0.135456931769377
"7923483"	-0.218653777777778	-1.16364724538411	8.9188396969697	-4.06242309950716	0.000263524381183455	0.135456931769377
"8161644"	0.173653	1.12791081738215	4.95890151515152	4.06112457876965	0.000264517582994138	0.135456931769377
"7937275"	-0.152021999999999	-1.1111256723457	8.82792575757576	-4.05596872280992	0.000268497387055256	0.135456931769377
"7963235"	-0.269653333333333	-1.20551811770354	9.83284363636364	-4.04418947164971	0.000277810661352148	0.137464820074474
"7895797"	0.362822111111112	1.28593891329511	7.23170303030303	4.03489834633142	0.000285378716879479	0.137464820074474
"8091452"	-0.218389555555554	-1.16343414885361	10.4497375757576	-4.02863870504602	0.000290590667391228	0.137464820074474
"7950284"	-0.280366666666666	-1.21450351605898	10.9986939393939	-4.02628795664129	0.000292571886377136	0.137464820074474
"8069505"	0.393951444444445	1.31398740265273	7.55271939393939	4.02564086777765	0.000293119567086755	0.137464820074474
"7908867"	-0.235011333333332	-1.17691598264373	10.54276	-4.01421961859158	0.00030295269170913	0.13981890471368
"7960553"	-0.19874	-1.14769555951138	11.1061303030303	-4.01014566003669	0.000306537527227637	0.13981890471368
"8087685"	-0.163955999999999	-1.12035504455174	8.92516121212121	-3.98830473053007	0.000326473852031725	0.142999188365577
"8074201"	0.314816111111111	1.24385309910945	6.45469545454545	3.98743225410953	0.000327295989503484	0.142999188365577
"7991735"	-0.239352666666667	-1.18046287210709	9.98288333333333	-3.98279304629974	0.000331701579574358	0.142999188365577
"8115765"	-0.180315333333332	-1.13313152952103	9.53404848484849	-3.97693019008639	0.000337352038645053	0.142999188365577
"8084345"	-0.287498888888888	-1.22052249816787	11.4902909090909	-3.97554779639283	0.00033869797271743	0.142999188365577
"8180323"	-0.196701333333333	-1.14607490079012	9.92367696969697	-3.97495382198938	0.000339277889325783	0.142999188365577
"8028380"	-0.204533333333333	-1.15231354916033	10.7576303030303	-3.96630268393392	0.000347834883820515	0.144773226582146
"8145272"	-0.165206222222222	-1.12132635159924	8.66863181818182	-3.93741986335748	0.000377955498927421	0.153344117442421
"8081620"	-0.39389288888889	-1.31393407211594	11.3305966666667	-3.93367431000076	0.000382043177927814	0.153344117442421
"7893160"	-0.259639333333333	-1.19717937824725	9.15283878787879	-3.92700326947121	0.000389430529881955	0.153344117442421
"8099685"	-0.388315333333333	-1.3088641217792	7.7607296969697	-3.92385002197986	0.00039297063287216	0.153344117442421
"7902435"	-0.233621999999998	-1.17578314341787	10.2441081818182	-3.9139843137748	0.000404250433129086	0.153344117442421
"8165995"	-0.248574555555556	-1.18803270775561	8.69097878787879	-3.90977734381275	0.000409155772527078	0.153344117442421
"8116593"	0.295398777777778	1.22722414948009	5.56947272727273	3.90610037937988	0.000413490569861829	0.153344117442421
"8159220"	-0.259814444444443	-1.19732469803312	11.028096969697	-3.90202097868545	0.000418352147967525	0.153344117442421
"7923179"	0.21477	1.16051888524463	4.09801606060606	3.89767919040075	0.000423587571747355	0.153344117442421
"8092053"	-0.237343	-1.17881963825751	8.98921515151515	-3.88735658570724	0.000436292250838691	0.153344117442421
"8112841"	-0.353380999999998	-1.27755110193895	9.94710393939394	-3.8815897648248	0.000443550561714381	0.153344117442421
"7942611"	0.200837777777778	1.14936560164519	7.62928878787879	3.88036407169938	0.000445108336936225	0.153344117442421
"7894704"	-0.287355555555555	-1.22040124394361	11.3108727272727	-3.87951316493248	0.000446192913717711	0.153344117442421
"8005857"	-0.269999888888888	-1.20580773482384	9.08862666666667	-3.87631271023091	0.000450295333775404	0.153344117442421
"7893739"	0.265186666666668	1.20179153623841	11.1831060606061	3.87401915551998	0.000453257823824603	0.153344117442421
"8097790"	-0.267989888888889	-1.20412894207841	2.8067103030303	-3.8729259814303	0.000454676498156887	0.153344117442421
"8079740"	0.230484333333334	1.17322875277668	6.13188727272727	3.87283555253918	0.000454794046207673	0.153344117442421
"8157516"	-0.220534555555555	-1.16516523013075	9.08384424242424	-3.8708798155967	0.000457343546996542	0.153344117442421
"7906742"	-0.259409333333332	-1.19698853451272	8.82272333333333	-3.87047900916801	0.000457867753236835	0.153344117442421
"7936871"	-0.205340444444444	-1.1529583876373	10.1977412121212	-3.86844703741021	0.000460534334752144	0.153344117442421
"7936567"	-0.244195333333333	-1.18443196686695	10.2991187878788	-3.85953035445828	0.000472415534150284	0.155742772679228
"7977879"	-0.228723555555555	-1.1717977261623	8.97622363636364	-3.85431975605535	0.000479495978721469	0.156527231406753
"8167287"	-0.233976444444444	-1.17607204785674	9.38750484848485	-3.8448001616852	0.000492699202621954	0.157978253966256
