BorderStyle,BorderThickness,ChEBI,Color,Ensembl,FillColor,GraphID,Height,IsGPMLShape,LabelFont,LabelSize,name,selected,Shape,shared name,Transparent,Type,Width,XrefDatasource,XrefId
,1,,#000000,ENSG00000175387,#ffffff,aa26f,25,,Arial,13,"SMAD2
",FALSE,Rectangle,"SMAD2
",FALSE,GeneProduct,90,Ensembl,ENSG00000175387
,1,,#000000,,#ffffff,aaac4,25,,Arial,13,HDAC4,FALSE,Rectangle,HDAC4,FALSE,Protein,90,,
,1,,#000000,ENSG00000007062,#ffffff,fd214,25,,Arial,13,PROM1,FALSE,Rectangle,PROM1,FALSE,GeneProduct,90,Ensembl,ENSG00000007062
,1,,#000000,ENSG00000104205,#ffffff,ba885,25,,Arial,13,"SGK3
",FALSE,Rectangle,"SGK3
",FALSE,GeneProduct,90,Ensembl,ENSG00000104205
,1,,#000000,ENSG00000164690,#ffffff,aacae,25,,Arial,13,SHH,FALSE,Rectangle,SHH,FALSE,Protein,90,Ensembl,ENSG00000164690
,1,,#000000,ENSG00000119318,#ffffff,a62b8,25,,Arial,13,"RAD23B
",FALSE,Rectangle,"RAD23B
",FALSE,GeneProduct,90,Ensembl,ENSG00000119318
,1,,#000000,ENSG00000118515,#ffffff,ca732,25,,Arial,13,"SGK1
",FALSE,Rectangle,"SGK1
",FALSE,GeneProduct,90,Ensembl,ENSG00000118515
,1,,#000000,ENSG00000101460,#ffffff,bedf9,25,,Arial,13,"MAP1LC3A
",FALSE,Rectangle,"MAP1LC3A
",FALSE,GeneProduct,90,Ensembl,ENSG00000101460
,1,,#000000,ENSG00000001626,#ffffff,e2a91,25,,Arial,13,"CFTR
",FALSE,Rectangle,"CFTR
",FALSE,GeneProduct,90,Ensembl,ENSG00000001626
,1,,#000000,ENSG00000187608,#ffffff,a4c52,25,,Arial,13,ISG15,FALSE,Rectangle,ISG15,FALSE,GeneProduct,90,Ensembl,ENSG00000187608
,1,,#000000,ENSG00000142168,#ffffff,bf72e,25,,Arial,13,"SOD1
",FALSE,Rectangle,"SOD1
",FALSE,GeneProduct,90,Ensembl,ENSG00000142168
,1,,#000000,ENSG00000120899,#ffffff,e82fd,25,,Arial,13,PTK2B,FALSE,Rectangle,PTK2B,FALSE,Protein,90,Ensembl,ENSG00000120899
,1,,#000000,ENSG00000204843,#ffffff,a0f95,25,,Arial,13,"DCTN1
",FALSE,Rectangle,"DCTN1
",FALSE,GeneProduct,90,Ensembl,ENSG00000204843
,1,,#000000,ENSG00000120251,#ffffff,a9c33,25,,Arial,13,"GRIA2
",FALSE,Rectangle,"GRIA2
",FALSE,GeneProduct,90,Ensembl,ENSG00000120251
,1,,#000000,ENSG00000122545,#ffffff,d7e15,25,,Arial,13,SEPTIN7,FALSE,Rectangle,SEPTIN7,FALSE,GeneProduct,90,Ensembl,ENSG00000122545 
,1,,#000000,ENSG00000155511,#ffffff,e259f,25,,Arial,13,"GRIA1

",FALSE,Rectangle,"GRIA1

",FALSE,GeneProduct,90,Ensembl,ENSG00000155511
,1,,#000000,ENSG00000145335,#ffffff,de22e,25,,Arial,13,SNCA,FALSE,Rectangle,SNCA,FALSE,Protein,90,Ensembl,ENSG00000145335
,1,,#000000,ENSG00000077380,#ffffff,c4b2b,25,,Arial,13,DYNC1I2,FALSE,Rectangle,DYNC1I2,FALSE,GeneProduct,90,Ensembl,ENSG00000077380
