""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"7893311"	1.26945245301192	2.41070054698867	6.61840433063182	8.49587310587935	1.05497100847259e-07	0.00147521197880414
"7917942"	1.35143455997593	2.55165726255999	5.7713582017741	8.43579400485006	1.16953791611813e-07	0.00147521197880414
"8138822"	1.44335842943269	2.71953205226435	5.06946944987347	8.36161420569479	1.32913954302562e-07	0.00147521197880414
"8007799"	0.473241299578981	1.38822488871167	8.39168074564159	7.93480439471313	2.81313627778413e-07	0.00165005738084147
"8114006"	1.00710250398369	2.00987043776723	5.46765264901991	7.81697576853972	3.47456070082889e-07	0.00165005738084147
"8067864"	0.868245996522799	1.8254422099818	6.97009736716153	7.68975677689443	4.37332881796275e-07	0.00165005738084147
"8090934"	0.853052511131296	1.8063187653939	3.57956136271531	7.66757018536245	4.55336082923587e-07	0.00165005738084147
"8055465"	-0.881434935009759	-1.84220668807697	4.28125035748496	-7.66454233566843	4.57852147258415e-07	0.00165005738084147
"8173607"	1.00150294007806	2.00208460299342	8.53751587571755	7.65561416126776	4.65355766440393e-07	0.00165005738084147
"8159876"	0.48500967993871	1.39959525631913	5.98277790454528	7.6150822262928	5.0106406237495e-07	0.00165005738084147
"7926894"	1.54488128311475	2.91780057782705	5.10105374514976	7.56903423989485	5.45113108966458e-07	0.00165005738084147
"7892707"	1.17694708264014	2.26097820113582	7.20022266294282	7.36288012405896	7.97676033136529e-07	0.00221335157294558
"7900336"	0.819159100327601	1.76437729509428	5.33679300385904	7.28446963178443	9.23348612189772e-07	0.00234815436407669
"8104066"	0.892385211934146	1.85624251943277	4.29452106500182	7.22123670653918	1.039605800624e-06	0.00234815436407669
"8121130"	1.42619346246887	2.68736719775321	4.21940898782132	7.10717509000906	1.28933616957546e-06	0.00234815436407669
"8020347"	1.621539670604	3.07703247638438	6.0124460119665	7.09618668346502	1.31647899962342e-06	0.00234815436407669
"7894645"	0.72213493209871	1.64962137546973	7.80735204836043	7.09557469646632	1.31800801189319e-06	0.00234815436407669
"7895815"	0.72213493209871	1.64962137546973	7.80735204836043	7.09557469646632	1.31800801189319e-06	0.00234815436407669
"7993108"	1.08403573548843	2.11995807740626	4.14230891267043	7.05982592748197	1.41059987831598e-06	0.00234815436407669
"7993110"	1.77424918680287	3.42059947719462	5.58390203313556	7.02227437555436	1.51515732312877e-06	0.00234815436407669
"7979927"	0.730926350871021	1.65970444162651	5.33142660567703	6.97177209845722	1.6686013585584e-06	0.00234815436407669
"8128549"	0.994023346491871	1.99173173723654	4.8346932578743	6.9671805697556	1.68332906306633e-06	0.00234815436407669
"8137040"	1.65764153974283	3.15500335584471	4.69960874942691	6.95436960279825	1.72513837551939e-06	0.00234815436407669
"8053744"	0.862380218093525	1.81803530769706	6.76684624919123	6.94584335766919	1.75355989368363e-06	0.00234815436407669
"8098958"	0.470134912674198	1.38523900176484	5.39064363253325	6.94303197826943	1.76303748391498e-06	0.00234815436407669
"7968195"	0.823785564912304	1.77004441891834	3.24540884189563	6.86964274446781	2.0301836372686e-06	0.00251826103640402
"8007803"	0.877433115001344	1.83710376323038	5.71690623039259	6.86168271451176	2.06158088182319e-06	0.00251826103640402
"8022104"	1.41498652372124	2.66657244549385	4.06295916574175	6.8329506621523	2.17916074472388e-06	0.00251826103640402
"8114287"	-0.47500431374556	-1.38992237578822	9.54543860153282	-6.82697150262979	2.2044908637311e-06	0.00251826103640402
"8137046"	0.548973156310679	1.46304399813628	3.89373972410892	6.74382522534256	2.59013030118112e-06	0.00251826103640402
"7896754"	0.886089324208172	1.84815956982404	6.80814727483103	6.73754987326867	2.621937364014e-06	0.00251826103640402
"7895813"	1.00831816053439	2.01156472643281	6.59928686962203	6.737398880861	2.62270764532429e-06	0.00251826103640402
"8099537"	1.18340377360076	2.27111974392991	4.72014742021821	6.73379371326646	2.64116903634473e-06	0.00251826103640402
"8172270"	0.842176448871714	1.79275264841158	5.62485450972193	6.72636125064679	2.67965534102266e-06	0.00251826103640402
"8152863"	0.78108475041341	1.71842245481462	4.63310957482519	6.69795732861957	2.83216832428226e-06	0.00251826103640402
"8080082"	1.0278900290115	2.03903993205014	5.88818707653742	6.69004666690107	2.87622487095702e-06	0.00251826103640402
"8154868"	0.90111398719443	1.86750743558205	6.22006420121936	6.67481487411203	2.96306498030912e-06	0.00251826103640402
"8058333"	-0.625577864026738	-1.54282867369647	6.29726398608455	-6.66431695861621	3.02449298615923e-06	0.00251826103640402
"8129974"	-0.888450523031633	-1.85118685217472	6.40240123609817	-6.66401547465248	3.02627645767543e-06	0.00251826103640402
"7953021"	-0.818217781058126	-1.7632264623888	7.38144297906256	-6.65459634212561	3.08254865719349e-06	0.00251826103640402
"7985416"	0.946193921101017	1.92678276080523	5.68707914174284	6.61519790245017	3.32992597519321e-06	0.00251826103640402
"7985457"	0.946193921101017	1.92678276080523	5.68707914174284	6.61519790245017	3.32992597519321e-06	0.00251826103640402
"7985688"	0.946193921101017	1.92678276080523	5.68707914174284	6.61519790245017	3.32992597519321e-06	0.00251826103640402
"7990941"	0.946193921101017	1.92678276080523	5.68707914174284	6.61519790245017	3.32992597519321e-06	0.00251826103640402
"8083407"	0.869011015214551	1.82641044491569	4.62061612369478	6.595508028587	3.46117160042224e-06	0.00251826103640402
"7894212"	-0.763528918127257	-1.6976380741969	8.62396952166956	-6.59289425915404	3.4789923318793e-06	0.00251826103640402
"8055016"	0.760590068786734	1.69418341170498	4.93439312562913	6.57335581145751	3.61525063545069e-06	0.0025612127746511
"7941707"	0.843602813286819	1.79452598443448	5.46239293630716	6.55635647816094	3.7382925561785e-06	0.00259320681756407
"8170239"	1.17841352453144	2.26327756358632	7.39031594499224	6.53928594191694	3.86621581666282e-06	0.00262721200096779
"8026300"	-0.993444975604384	-1.9909334196832	5.74661766669889	-6.50578303140901	4.13061825229714e-06	0.00275074391893476
"7909990"	0.882357123671856	1.84338462600249	6.71859397898404	6.49566376242831	4.21410468586172e-06	0.00275131458284583
"7928589"	-0.423809049941138	-1.34146466157102	7.08469139667084	-6.45570214159844	4.56123242860863e-06	0.0027982577735899
"8096457"	1.15682097654758	2.2296557431961	6.0603608170242	6.4280728265728	4.81842139655062e-06	0.0027982577735899
"8020825"	0.941054390304347	1.91993090304175	4.49277566999036	6.4280343122997	4.8187901903748e-06	0.0027982577735899
"8098547"	1.32320862047958	2.50221996682713	4.78314126533815	6.42430379630276	4.85465047329512e-06	0.0027982577735899
"8130732"	-0.510605305656897	-1.42464780387176	8.3669541203203	-6.4214606289949	4.8821661669619e-06	0.0027982577735899
"8104723"	1.79053211847179	3.45942465174823	5.20308068979714	6.41204839301849	4.97441228900611e-06	0.0027982577735899
