"biogrid","entrez gene/locuslink","Human Readable Label","name","ncbi_gene_id","selected","shared name","Taxonomy ID","Taxonomy Name"
"106575","PS1TP5BP1|60|BRWS1|ACTB","PS1TP5BP1","60","60","false","60","9606",""
"110713","4628|NMMHCB|NMMHC-IIB|MYH10","NMMHCB","4628","4628","false","4628","9606",""
"114995","IFI15|hUCRP|9636|ISG15|UCRP|G1P2|IMD38|IP17","IFI15","9636","9636","false","9636","9606",""
"115098","9750|PL48|DIFF48|C6orf32|FAM65B|MYONAP|DIFF40","PL48","9750","9750","false","9750","9606",""
"112163","CYLN1|CLIP170|CLIP1|6249|CLIP-170|RSN|CLIP","CYLN1","6249","6249","false","6249","9606",""
"113946","HIST1H3A|H3FA|8350|H3/A","HIST1H3A","8350","8350","false","8350","9606",""
"112368","6472|SHMT2|SHMT|HEL-S-51e|GLYA","SHMT2","6472","6472","false","6472","9606",""
"115745","NXF1|TAP|10482|MEX67","NXF1","10482","10482","false","10482","9606",""
"111787","hCG_1778014|5829|PXN","hCG_1778014","5829","5829","false","5829","9606",""
"108309","1994|HUR|Hua|MelG|ELAV1|ELAVL1","HUR","1994","1994","false","1994","9606",""
"123747","dJ468O1.1|ITCH|AIP4|NAPP1|AIF4|ADMFD|83737","dJ468O1.1","83737","83737","false","83737","9606",""
"122777","RP11-535K18.3|MAP7D3|79649|MDP3","RP11-535K18.3","79649","79649","false","79649","9606",""
"115255","CMT2A2|CPRP1|MFN2|MARF|CMT2A|HSG|RP5-1077B9.3|9927","CMT2A2","9927","9927","false","9927","9606",""
"113366","14-3-3-zeta|YWHAD|HEL4|7534|HEL-S-3|YWHAZ|KCIP-1","YWHAD","7534","7534","false","7534","9606",""
"108589","FKH6|2300|FOXL1|FREAC7|FKHL11","FKH6","2300","2300","false","2300","9606",""
"123234","80321|CEP70|BITE","CEP70","80321","80321","false","80321","9606",""
"129476","283150|FOXR1|DLNB13|FOXN5","FOXR1","283150","283150","false","283150","9606",""
"125319","AII|CLR1.1|MWS|PYPAF1|CIAS1|114548|FCAS|NALP3|NLRP3|C1orf7|FCU|AVP|FCAS1|AGTAVPRL","AII","114548","114548","false","114548","9606",""
"110339","MITOTIN|D3S3194|CDCL1|cdc19|CCNL1|BM28|4171|MCM2","MITOTIN","4171","4171","false","4171","9606",""
"122922","MYM|79830|ZMYM1|RP11-181E22.4","MYM","79830","79830","false","79830","9606",""
"123907","UTP15|NET21|84135","UTP15","84135","84135","false","84135","9606",""
"124353","CIRH1A|UTP4|TEX292|NAIC|CIRHIN|84916","CIRH1A","84916","84916","false","84916","9606",""
"124924","MRPS36|92259|DC47|MRP-S36","MRPS36","92259","92259","false","92259","9606",""
"125913","125058|TBC1D16","TBC1D16","125058","125058","false","125058","9606",""
"134231","392465|GLOD5","GLOD5","392465","392465","false","392465","9606",""
"107065","BCKDHA|MSUD1|BCKDE1A|OVD1A|MSU|593","BCKDHA","593","593","false","593","9606",""
"107066","594|RP1-279A18.1|dJ279A18.1|BCKDHB|E1B","RP1-279A18.1","594","594","false","594","9606",""
